ticker,nombre,pais,sector_damodaran,grupo
ASX:CLX,CTI Logistics Limited,Australia,Transportation,"Australia, NZ and Canada"
ASX:CHL,Camplify Holdings Limited,Australia,Transportation,"Australia, NZ and Canada"
NasdaqCM:GVH,Globavend Holdings Limited,Australia,Transportation,"Australia, NZ and Canada"
ASX:KSC,K&S Corporation Limited,Australia,Transportation,"Australia, NZ and Canada"
ASX:KLS,Kelsian Group Limited,Australia,Transportation,"Australia, NZ and Canada"
ASX:SRH,Saferoads Holdings Limited,Australia,Transportation,"Australia, NZ and Canada"
ASX:WWG,Wiseway Group Limited,Australia,Transportation,"Australia, NZ and Canada"
ENXTBR:BPOST,bpost NV/SA,Belgium,Transportation,Developed Europe
BOVESPA:ECOR3,EcoRodovias Infraestrutura e Logística S.A.,Brazil,Transportation,Emerging Markets
BOVESPA:RENT3,Localiza Rent a Car S.A.,Brazil,Transportation,Emerging Markets
BOVESPA:MOTV3,Motiva Infraestrutura de Mobilidade S.A.,Brazil,Transportation,Emerging Markets
BOVESPA:MOVI3,Movida Participações S.A.,Brazil,Transportation,Emerging Markets
BOVESPA:SEQL3,Sequoia Logística e Transportes S.A.,Brazil,Transportation,Emerging Markets
BOVESPA:TPIS3,Triunfo Participações e Investimentos S.A.,Brazil,Transportation,Emerging Markets
TSXV:ARGH,Argo Corporation,Canada,Transportation,"Australia, NZ and Canada"
TSX:CJT,Cargojet Inc.,Canada,Transportation,"Australia, NZ and Canada"
TSX:TTNM,Titanium Transportation Group Inc.,Canada,Transportation,"Australia, NZ and Canada"
CPSE:DSV,DSV A/S,Denmark,Transportation,Developed Europe
CPSE:OKEAC,Det Østasiatiske Kompagni A/S,Denmark,Transportation,Developed Europe
CPSE:DONKEY,DonkeyRepublic Holding A/S,Denmark,Transportation,Developed Europe
CPSE:GREENM,GreenMobility A/S,Denmark,Transportation,Developed Europe
HLSE:NLG1V,Nurminen Logistics Oyj,Finland,Transportation,Developed Europe
HLSE:POSTI,Posti Group Oyj,Finland,Transportation,Developed Europe
ENXTPA:AYV,Ayvens,France,Transportation,Developed Europe
ENXTPA:ODET,Compagnie de l'Odet,France,Transportation,Developed Europe
ENXTPA:GET,Getlink SE,France,Transportation,Developed Europe
ENXTPA:IDL,ID Logistics Group SA,France,Transportation,Developed Europe
ENXTPA:ALGIR,Signaux Girod S.A.,France,Transportation,Developed Europe
ENXTPA:ALTPC,Société Marseillaise du Tunnel Prado Carénage,France,Transportation,Developed Europe
ENXTPA:ALTOO,Toosla Société Anonyme,France,Transportation,Developed Europe
DB:LNSX,Allane SE,Germany,Transportation,Developed Europe
HMSE:DE10,Deufol SE,Germany,Transportation,Developed Europe
XTRA:DHL,Deutsche Post AG,Germany,Transportation,Developed Europe
XTRA:MLL,Müller - Die lila Logistik SE,Germany,Transportation,Developed Europe
XTRA:SIX2,Sixt SE,Germany,Transportation,Developed Europe
DB:HVB,ÜSTRA Hannoversche Verkehrsbetriebe Aktiengesellschaft,Germany,Transportation,Developed Europe
BIT:ALA,A.L.A. società per azioni,Italy,Transportation,Developed Europe
BIT:AUTME,Autostrade Meridionali S.p.A.,Italy,Transportation,Developed Europe
BIT:FCH,Franchetti S.p.A.,Italy,Transportation,Developed Europe
BIT:SBC,Sicily by Car S.p.A.,Italy,Transportation,Developed Europe
TSE:9381,AIT Corporation,Japan,Transportation,Japan
TSE:9090,AZ-COM MARUWA Holdings Inc.,Japan,Transportation,Japan
TSE:9145,"Being Holdings Co., Ltd.",Japan,Transportation,Japan
TSE:9319,"Chuo Warehouse Co.,Ltd.",Japan,Transportation,Japan
FKSE:9035,"Daiichi Koutsu Sangyo Co.,Ltd.",Japan,Transportation,Japan
TSE:9082,"Daiwa Motor Transportation Co., Ltd.",Japan,Transportation,Japan
